#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
491,7840.252000,0.0105791
492,7840.253000,-0.001922987
493,7840.254000,-0.001504734
494,7840.255000,-0.009380285
495,7840.256000,0.006963849
496,7840.257000,-0.006365795
497,7840.258000,-0.002467018
498,7840.259000,9.038635E-4
499,7840.260000,-0.007737767
500,7840.261000,-0.002108175
501,7840.262000,-0.004279438
502,7840.263000,-0.005568285
503,7840.264000,-0.004507352
504,7840.265000,-9.794571E-4
505,7840.266000,-0.009741273
506,7840.267000,-0.004125368
507,7840.268000,-0.005554214
508,7840.269000,-0.005160812
509,7840.270000,-0.006174233
510,7840.271000,-0.008656997
511,7840.272000,-0.003558725
512,7840.273000,-0.006912064
513,7840.274000,-0.007384013
514,7840.275000,-0.01041421
515,7840.276000,-0.006565008
516,7840.277000,0.004476968
517,7840.278000,-0.02054031
518,7840.279000,-0.00317499
519,7840.280000,-0.007555541
520,7840.281000,-0.007673014
521,7840.282000,-0.008027371
522,7840.283000,-0.008642733
523,7840.284000,-0.007264525
524,7840.285000,-0.003741249
525,7840.286000,-0.00883989
526,7840.287000,-0.02295053
527,7840.288000,0.008479562
528,7840.289000,-0.01274601
529,7840.290000,-0.008455284
530,7840.291000,-0.01130895
531,7840.292000,-0.005275875
532,7840.293000,-0.007603914
533,7840.294000,-0.01000582
534,7840.295000,-0.007651854
535,7840.296000,-0.008229502
536,7840.297000,-0.008242872
537,7840.298000,-0.008265432
538,7840.299000,-0.008297879
539,7840.300000,-0.008346658
540,7840.301000,-0.008413557
541,7840.302000,-0.008381147
542,7840.303000,-0.008239694
543,7840.304000,-0.008040529
544,7840.305000,-0.0077581
545,7840.306000,-0.008031636
546,7840.307000,-0.008923069
547,7840.308000,-0.00921141
548,7840.309000,-0.009261902
549,7840.310000,-0.008919816
550,7840.311000,-0.008032408
551,7840.312000,-0.006528728
552,7840.313000,-0.004287109
553,7840.314000,-0.006090648
554,7840.315000,-0.01233478
555,7840.316000,-0.01212554
556,7840.317000,-0.005914092
557,7840.318000,-0.004972961
558,7840.319000,-0.007685669
559,7840.320000,-0.007823836
560,7840.321000,-0.007007558
561,7840.322000,-0.006925169
562,7840.323000,-0.006852068
563,7840.324000,-0.006668825
564,7840.325000,-0.006498154
565,7840.326000,-0.006325442
566,7840.327000,-0.006153267
567,7840.328000,-0.005977299
568,7840.329000,-0.005796243
569,7840.330000,-0.005741142
570,7840.331000,-0.005820591
571,7840.332000,-0.005981028
572,7840.333000,-0.006257847
573,7840.334000,-0.005941931
574,7840.335000,-0.004966073
575,7840.336000,-0.004029233
576,7840.337000,-0.002967756
577,7840.338000,-0.003415678
578,7840.339000,-0.005639758
579,7840.340000,-0.01025833
580,7840.341000,-0.002463404
581,7840.342000,-0.00258917
582,7840.343000,-0.004469939
583,7840.344000,-0.004526578
584,7840.345000,-0.003901273
585,7840.346000,-0.003804572
586,7840.347000,-0.003724005
587,7840.348000,-0.003562585
588,7840.349000,-0.003410835
589,7840.350000,-0.003266621
590,7840.351000,-0.003128018
591,7840.352000,-0.002991553
592,7840.353000,-0.002861299
593,7840.354000,-0.002726763
594,7840.355000,-0.002588976
595,7840.356000,-0.00245304
596,7840.357000,-0.002319809
597,7840.358000,-0.002146233
598,7840.359000,-0.001930211
599,7840.360000,-0.00168914
600,7840.361000,-0.001411691
601,7840.362000,-0.001122966
602,7840.363000,-8.226857E-4
603,7840.364000,-4.884675E-4
604,7840.365000,-1.261011E-4
605,7840.366000,2.395809E-4
606,7840.367000,6.086864E-4
607,7840.368000,9.91784E-4
608,7840.369000,0.001382876
609,7840.370000,0.001804326
610,7840.371000,0.00225804
611,7840.372000,0.002728321
612,7840.373000,0.003220651
613,7840.374000,0.003705367
614,7840.375000,0.004178148
615,7840.376000,0.004691359
616,7840.377000,0.005240023
617,7840.378000,0.00552335
618,7840.379000,0.005521923
619,7840.380000,0.006714277
620,7840.381000,0.009156954
621,7840.382000,0.005353406
622,7840.383000,0.008956924
623,7840.384000,0.008793153
624,7840.385000,0.009396296
625,7840.386000,0.01005687
626,7840.387000,0.01077912
627,7840.388000,0.01155408
628,7840.389000,0.01239303
629,7840.390000,0.01266425
630,7840.391000,0.01230607
631,7840.392000,0.01162521
632,7840.393000,0.01044381
633,7840.394000,0.0111898
634,7840.395000,0.01409539
635,7840.396000,0.01785064
636,7840.397000,0.02312653
637,7840.398000,0.01833273
638,7840.399000,0.002301671
639,7840.400000,0.001923271
640,7840.401000,0.01607686
641,7840.402000,0.01961961
642,7840.403000,0.01681789
643,7840.404000,0.005146883
644,7840.405000,0.01391251
645,7840.406000,0.01151903
646,7840.407000,0.01091576
647,7840.408000,0.01066317
648,7840.409000,0.01047681
649,7840.410000,0.009841934
650,7840.411000,0.008732915
651,7840.412000,0.009879533
652,7840.413000,0.008522525
653,7840.414000,0.007929701
654,7840.415000,0.006488603
655,7840.416000,0.007015049
656,7840.417000,0.009577237
657,7840.418000,0.001479056
658,7840.419000,0.005769964
659,7840.420000,0.003608331
660,7840.421000,0.002639312
661,7840.422000,0.002129436
662,7840.423000,0.002134975
663,7840.424000,0.003600121
664,7840.425000,0.006797638
665,7840.426000,0.003464419
666,7840.427000,0.005564731
667,7840.428000,0.008732274
668,7840.429000,0.01703355
669,7840.430000,0.01513505
670,7840.431000,0.003111493
671,7840.432000,0.02328211
672,7840.433000,0.02441292
673,7840.434000,0.02211624
674,7840.435000,0.0185409
675,7840.436000,0.03772196
676,7840.437000,0.02863565
677,7840.438000,0.03502538
678,7840.439000,0.03914234
679,7840.440000,0.04371814
680,7840.441000,0.04883817
681,7840.442000,0.04549227
682,7840.443000,0.03275788
683,7840.444000,0.03267334
684,7840.445000,0.04445237
685,7840.446000,0.0458581
686,7840.447000,0.04029987
687,7840.448000,0.038272
688,7840.449000,0.04049874
689,7840.450000,0.03964975
690,7840.451000,0.03848533
691,7840.452000,0.03753854
692,7840.453000,0.03641472
693,7840.454000,0.03493543
694,7840.455000,0.03313668
695,7840.456000,0.03102824
696,7840.457000,0.02856
697,7840.458000,0.02921788
698,7840.459000,0.03333516
699,7840.460000,0.0325406
700,7840.461000,0.02713917
701,7840.462000,0.02546348
702,7840.463000,0.02621035
703,7840.464000,0.02472019
704,7840.465000,0.02212348
705,7840.466000,0.02017103
706,7840.467000,0.01831966
707,7840.468000,0.01614223
708,7840.469000,0.0138285
709,7840.470000,0.01234521
710,7840.471000,0.01175516
711,7840.472000,0.0115248
712,7840.473000,0.01191532
713,7840.474000,0.01322412
714,7840.475000,0.01548395
715,7840.476000,0.01402725
716,7840.477000,0.01833778
717,7840.478000,0.01999971
718,7840.479000,0.02224682
719,7840.480000,0.02474523
720,7840.481000,0.02737862
721,7840.482000,0.03037122
722,7840.483000,0.03373483
723,7840.484000,0.03715711
724,7840.485000,0.04067029
725,7840.486000,0.044699
726,7840.487000,0.04921803
727,7840.488000,0.05071805
728,7840.489000,0.04894455
