#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
430,7840.191000,0.06955242
431,7840.192000,0.07017326
432,7840.193000,0.07079697
433,7840.194000,0.07151222
434,7840.195000,0.07233334
435,7840.196000,0.07322216
436,7840.197000,0.07420921
437,7840.198000,0.07443428
438,7840.199000,0.07379246
439,7840.200000,0.0727253
440,7840.201000,0.07099342
441,7840.202000,0.07242966
442,7840.203000,0.07746315
443,7840.204000,0.08542442
444,7840.205000,0.09739113
445,7840.206000,0.0856266
446,7840.207000,0.06060791
447,7840.208000,0.06101799
448,7840.209000,0.0890131
449,7840.210000,0.0933218
450,7840.211000,0.08122349
451,7840.212000,0.08077145
452,7840.213000,0.08463383
453,7840.214000,0.08504295
454,7840.215000,0.08530998
455,7840.216000,0.08602428
456,7840.217000,0.08682537
457,7840.218000,0.08775425
458,7840.219000,0.08854389
459,7840.220000,0.08873463
460,7840.221000,0.08814144
461,7840.222000,0.0906229
462,7840.223000,0.09624767
463,7840.224000,0.08610535
464,7840.225000,0.09447098
465,7840.226000,0.09334946
466,7840.227000,0.09409046
467,7840.228000,0.09483719
468,7840.229000,0.09558773
469,7840.230000,0.09633923
470,7840.231000,0.09709072
471,7840.232000,0.09784317
472,7840.233000,0.09860039
473,7840.234000,0.09935951
474,7840.235000,0.1001225
475,7840.236000,0.1008863
476,7840.237000,0.101655
477,7840.238000,0.1024237
478,7840.239000,0.1031981
479,7840.240000,0.1039743
480,7840.241000,0.1047544
481,7840.242000,0.1055384
482,7840.243000,0.1063242
483,7840.244000,0.107111
484,7840.245000,0.1079025
485,7840.246000,0.108696
486,7840.247000,0.1094952
487,7840.248000,0.1102982
488,7840.249000,0.1111059
489,7840.250000,0.1119156
490,7840.251000,0.11273
491,7840.252000,0.1135492
492,7840.253000,0.1143713
493,7840.254000,0.1151953
494,7840.255000,0.1160221
495,7840.256000,0.1168509
496,7840.257000,0.1176872
497,7840.258000,0.1185246
498,7840.259000,0.1193666
499,7840.260000,0.1202106
500,7840.261000,0.1210613
501,7840.262000,0.1218615
502,7840.263000,0.1226063
503,7840.264000,0.1233215
504,7840.265000,0.123991
505,7840.266000,0.1246471
506,7840.267000,0.1252899
507,7840.268000,0.1258888
508,7840.269000,0.1264505
509,7840.270000,0.1270094
510,7840.271000,0.1275702
511,7840.272000,0.1281128
512,7840.273000,0.1286507
513,7840.274000,0.1291485
514,7840.275000,0.1296024
515,7840.276000,0.1300364
516,7840.277000,0.1304455
517,7840.278000,0.1308603
518,7840.279000,0.1312885
519,7840.280000,0.1317091
520,7840.281000,0.1321297
521,7840.282000,0.132535
522,7840.283000,0.1329222
523,7840.284000,0.1333084
524,7840.285000,0.1336956
525,7840.286000,0.1340399
526,7840.287000,0.1343498
527,7840.288000,0.1346331
528,7840.289000,0.1348839
529,7840.290000,0.1351252
530,7840.291000,0.1353588
531,7840.292000,0.1355667
532,7840.293000,0.1357517
533,7840.294000,0.1359549
534,7840.295000,0.1361742
535,7840.296000,0.1364002
536,7840.297000,0.1366444
537,7840.298000,0.1368723
538,7840.299000,0.1370888
539,7840.300000,0.1373138
540,7840.301000,0.1375446
541,7840.302000,0.1377563
542,7840.303000,0.1379538
543,7840.304000,0.1381426
544,7840.305000,0.1383181
545,7840.306000,0.1384983
546,7840.307000,0.13869
547,7840.308000,0.1388731
548,7840.309000,0.1390543
549,7840.310000,0.1391993
550,7840.311000,0.1393051
551,7840.312000,0.13939
552,7840.313000,0.1394453
553,7840.314000,0.1394844
554,7840.315000,0.1395111
555,7840.316000,0.1395073
556,7840.317000,0.1394787
557,7840.318000,0.139451
558,7840.319000,0.1394281
559,7840.320000,0.1393957
560,7840.321000,0.1393614
561,7840.322000,0.1393003
562,7840.323000,0.1392117
563,7840.324000,0.1391153
564,7840.325000,0.1390076
565,7840.326000,0.1389475
566,7840.327000,0.1389437
567,7840.328000,0.1389656
568,7840.329000,0.1390305
569,7840.330000,0.1391058
570,7840.331000,0.1391907
571,7840.332000,0.1393166
572,7840.333000,0.1394815
573,7840.334000,0.1396303
574,7840.335000,0.1397648
575,7840.336000,0.1399069
576,7840.337000,0.1400452
577,7840.338000,0.1402197
578,7840.339000,0.1404333
579,7840.340000,0.1406574
580,7840.341000,0.1409035
581,7840.342000,0.1411304
582,7840.343000,0.1413336
583,7840.344000,0.1415386
584,7840.345000,0.1417351
585,7840.346000,0.1419363
586,7840.347000,0.1421461
587,7840.348000,0.1423445
588,7840.349000,0.14254
589,7840.350000,0.142767
590,7840.351000,0.1430273
591,7840.352000,0.1433058
592,7840.353000,0.143611
593,7840.354000,0.1439161
594,7840.355000,0.1442184
595,7840.356000,0.1445427
596,7840.357000,0.1448812
597,7840.358000,0.1451778
598,7840.359000,0.1454296
599,7840.360000,0.1456594
600,7840.361000,0.145853
601,7840.362000,0.1460447
602,7840.363000,0.1462383
603,7840.364000,0.1464005
604,7840.365000,0.146534
605,7840.366000,0.146678
606,7840.367000,0.1468306
607,7840.368000,0.1469746
608,7840.369000,0.1471205
609,7840.370000,0.1472416
610,7840.371000,0.1473341
611,7840.372000,0.1474152
612,7840.373000,0.1474838
613,7840.374000,0.1475897
614,7840.375000,0.1477222
615,7840.376000,0.1478386
616,7840.377000,0.1480331
617,7840.378000,0.1481895
618,7840.379000,0.1483545
619,7840.380000,0.1485405
620,7840.381000,0.1487455
621,7840.382000,0.1489267
622,7840.383000,0.149087
623,7840.384000,0.1492376
624,7840.385000,0.149375
625,7840.386000,0.1495218
626,7840.387000,0.1496878
627,7840.388000,0.1498442
628,7840.389000,0.1500006
629,7840.390000,0.1500473
630,7840.391000,0.1499739
631,7840.392000,0.1498337
632,7840.393000,0.1495962
633,7840.394000,0.1493158
634,7840.395000,0.1489973
635,7840.396000,0.1485796
636,7840.397000,0.148077
637,7840.398000,0.1475706
638,7840.399000,0.1470604
639,7840.400000,0.1465111
640,7840.401000,0.1459408
641,7840.402000,0.1452818
642,7840.403000,0.1445293
643,7840.404000,0.1437311
644,7840.405000,0.1428719
645,7840.406000,0.1420164
646,7840.407000,0.1411743
647,7840.408000,0.1403027
648,7840.409000,0.1394196
649,7840.410000,0.1385002
650,7840.411000,0.137536
651,7840.412000,0.1365633
652,7840.413000,0.1355715
653,7840.414000,0.1344938
654,7840.415000,0.1333313
655,7840.416000,0.1321096
656,7840.417000,0.1308146
657,7840.418000,0.129488
658,7840.419000,0.1281357
659,7840.420000,0.1267204
660,7840.421000,0.1252537
661,7840.422000,0.1238232
662,7840.423000,0.1224337
663,7840.424000,0.1210518
664,7840.425000,0.1197014
665,7840.426000,0.1183205
666,7840.427000,0.1169052
667,7840.428000,0.1155081
668,7840.429000,0.1141253
669,7840.430000,0.1126957
670,7840.431000,0.1112251
671,7840.432000,0.1097307
672,7840.433000,0.1081982
673,7840.434000,0.106679
674,7840.435000,0.1051769
675,7840.436000,0.103653
676,7840.437000,0.1021233
677,7840.438000,0.1005096
678,7840.439000,0.09880352
679,7840.440000,0.09704685
680,7840.441000,0.09521961
681,7840.442000,0.09335709
682,7840.443000,0.09146023
683,7840.444000,0.08949375
