#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
514,7758.352000,-6.033639
515,7758.353000,-5.763203
516,7758.354000,-5.819939
517,7758.355000,-5.98241
518,7758.356000,-5.927404
519,7758.357000,-5.980571
520,7758.358000,-6.069079
521,7758.359000,-6.085588
522,7758.360000,-6.224265
523,7758.361000,-6.143363
524,7758.362000,-6.363889
525,7758.363000,-6.26071
526,7758.364000,-6.04126
527,7758.365000,-6.343614
528,7758.366000,-6.541403
529,7758.367000,-6.361779
530,7758.368000,-6.321839
531,7758.369000,-6.286565
532,7758.370000,-6.442094
533,7758.371000,-6.503475
534,7758.372000,-6.559451
535,7758.373000,-6.442073
536,7758.374000,-6.370349
537,7758.375000,-6.460856
538,7758.376000,-6.519967
539,7758.377000,-6.448343
540,7758.378000,-6.456887
541,7758.379000,-6.532523
542,7758.380000,-6.600308
543,7758.381000,-6.564923
544,7758.382000,-6.528902
545,7758.383000,-6.449278
546,7758.384000,-6.642405
547,7758.385000,-6.601944
548,7758.386000,-6.539806
549,7758.387000,-6.780631
550,7758.388000,-6.700869
551,7758.389000,-6.457688
552,7758.390000,-6.764157
553,7758.391000,-6.626371
554,7758.392000,-6.584086
555,7758.393000,-6.655642
556,7758.394000,-6.633244
557,7758.395000,-6.753077
558,7758.396000,-6.794832
559,7758.397000,-6.673486
560,7758.398000,-6.68309
561,7758.399000,-6.754436
562,7758.400000,-6.789183
563,7758.401000,-6.816373
564,7758.402000,-6.832432
565,7758.403000,-6.848814
566,7758.404000,-6.834197
567,7758.405000,-6.868348
568,7758.406000,-6.842339
569,7758.407000,-6.880867
570,7758.408000,-7.007939
571,7758.409000,-6.961287
572,7758.410000,-6.762553
573,7758.411000,-7.033173
574,7758.412000,-7.040567
575,7758.413000,-7.057767
576,7758.414000,-6.983018
577,7758.415000,-6.934679
578,7758.416000,-6.905327
579,7758.417000,-7.058767
580,7758.418000,-7.082684
581,7758.419000,-7.041712
582,7758.420000,-7.043819
583,7758.421000,-7.056838
584,7758.422000,-7.079331
585,7758.423000,-7.136916
586,7758.424000,-7.069597
587,7758.425000,-7.127744
588,7758.426000,-7.202383
589,7758.427000,-7.229165
590,7758.428000,-7.177952
591,7758.429000,-7.246257
592,7758.430000,-7.295146
593,7758.431000,-7.411547
594,7758.432000,-7.31877
595,7758.433000,-7.489746
596,7758.434000,-7.458162
597,7758.435000,-7.372069
598,7758.436000,-7.312573
599,7758.437000,-7.194174
600,7758.438000,-7.459738
601,7758.439000,-7.863372
602,7758.440000,-7.678838
603,7758.441000,-7.642144
604,7758.442000,-7.601871
605,7758.443000,-7.575045
606,7758.444000,-7.665969
607,7758.445000,-7.734918
608,7758.446000,-7.432749
609,7758.447000,-7.635486
610,7758.448000,-7.764884
611,7758.449000,-7.668724
612,7758.450000,-7.743118
613,7758.451000,-7.837203
614,7758.452000,-7.847653
615,7758.453000,-7.777054
616,7758.454000,-7.832645
617,7758.455000,-7.766304
618,7758.456000,-7.779755
619,7758.457000,-7.694739
620,7758.458000,-7.593588
621,7758.459000,-7.696675
622,7758.460000,-7.794715
623,7758.461000,-7.904982
624,7758.462000,-7.969912
625,7758.463000,-7.79675
626,7758.464000,-7.874527
627,7758.465000,-7.995929
628,7758.466000,-7.83098
629,7758.467000,-7.86385
630,7758.468000,-7.829911
631,7758.469000,-7.945427
632,7758.470000,-7.986071
633,7758.471000,-7.911819
634,7758.472000,-7.886257
635,7758.473000,-7.850369
636,7758.474000,-7.885733
637,7758.475000,-8.072968
638,7758.476000,-8.088474
639,7758.477000,-7.934746
640,7758.478000,-7.919055
641,7758.479000,-7.987314
642,7758.480000,-8.066916
643,7758.481000,-8.070054
644,7758.482000,-8.056876
645,7758.483000,-8.075742
646,7758.484000,-8.180614
647,7758.485000,-8.134365
648,7758.486000,-8.194184
649,7758.487000,-8.268679
650,7758.488000,-8.029489
651,7758.489000,-8.126945
652,7758.490000,-8.07956
653,7758.491000,-8.137797
654,7758.492000,-8.161538
655,7758.493000,-8.094013
656,7758.494000,-8.236229
657,7758.495000,-8.274741
658,7758.496000,-8.205987
659,7758.497000,-8.323553
660,7758.498000,-8.318437
661,7758.499000,-8.237874
662,7758.500000,-8.380014
663,7758.501000,-8.30278
664,7758.502000,-8.271518
665,7758.503000,-8.308494
666,7758.504000,-8.252171
667,7758.505000,-8.234634
668,7758.506000,-8.377033
669,7758.507000,-8.394371
670,7758.508000,-8.581822
671,7758.509000,-8.342927
672,7758.510000,-8.387129
673,7758.511000,-8.531933
674,7758.512000,-8.606159
675,7758.513000,-8.476962
676,7758.514000,-8.443295
677,7758.515000,-8.40371
678,7758.516000,-8.589941
679,7758.517000,-8.552055
680,7758.518000,-8.461034
681,7758.519000,-8.517612
682,7758.520000,-8.580215
683,7758.521000,-8.569714
684,7758.522000,-8.561996
685,7758.523000,-8.567917
686,7758.524000,-8.623544
687,7758.525000,-8.608287
688,7758.526000,-8.667068
689,7758.527000,-8.697587
690,7758.528000,-8.635676
691,7758.529000,-8.72013
692,7758.530000,-8.746163
693,7758.531000,-8.722898
694,7758.532000,-8.754045
695,7758.533000,-8.711448
696,7758.534000,-8.768769
697,7758.535000,-8.906296
698,7758.536000,-8.653688
699,7758.537000,-8.868034
700,7758.538000,-8.850986
701,7758.539000,-8.722837
702,7758.540000,-8.872972
703,7758.541000,-8.762288
704,7758.542000,-8.817852
705,7758.543000,-8.891003
706,7758.544000,-8.876484
707,7758.545000,-8.843043
708,7758.546000,-8.864252
709,7758.547000,-8.891853
710,7758.548000,-8.860519
711,7758.549000,-8.916401
712,7758.550000,-8.860599
713,7758.551000,-8.877209
714,7758.552000,-8.967742
715,7758.553000,-8.814726
716,7758.554000,-8.774465
717,7758.555000,-8.757033
718,7758.556000,-8.875842
719,7758.557000,-8.745062
720,7758.558000,-8.856401
721,7758.559000,-8.805737
722,7758.560000,-8.900977
723,7758.561000,-8.96275
724,7758.562000,-8.934523
725,7758.563000,-8.827147
726,7758.564000,-8.977399
727,7758.565000,-8.81551
728,7758.566000,-8.726466
729,7758.567000,-8.809426
730,7758.568000,-8.770139
731,7758.569000,-8.803122
732,7758.570000,-8.824492
733,7758.571000,-8.77593
734,7758.572000,-8.81709
735,7758.573000,-8.74575
736,7758.574000,-8.666715
737,7758.575000,-8.783337
738,7758.576000,-8.848582
739,7758.577000,-8.797915
740,7758.578000,-8.724921
741,7758.579000,-8.718721
742,7758.580000,-8.845338
743,7758.581000,-8.80409
744,7758.582000,-8.775696
745,7758.583000,-8.595083
746,7758.584000,-8.772105
747,7758.585000,-8.668877
748,7758.586000,-8.540795
749,7758.587000,-8.785482
750,7758.588000,-8.853972
751,7758.589000,-8.611048
752,7758.590000,-8.597958
753,7758.591000,-8.65747
754,7758.592000,-8.684953
755,7758.593000,-8.598272
756,7758.594000,-8.565824
757,7758.595000,-8.508774
758,7758.596000,-8.622889
759,7758.597000,-8.662623
760,7758.598000,-8.464894
761,7758.599000,-8.642579
762,7758.600000,-8.543885
763,7758.601000,-8.560168
764,7758.602000,-8.440505
765,7758.603000,-8.434957
766,7758.604000,-8.517651
767,7758.605000,-8.453024
768,7758.606000,-8.459869
769,7758.607000,-8.622494
770,7758.608000,-8.493754
