DATE,DEXTAUS
2009-04-24,33.6900
2009-04-27,33.7200
2009-04-28,33.7900
2009-04-29,33.6400
2009-04-30,33.0600
2009-05-01,33.1400
2009-05-04,32.9900
2009-05-05,33.0200
2009-05-06,33.1400
2009-05-07,33.1100
2009-05-08,33.0100
2009-05-11,32.9300
2009-05-12,32.8300
2009-05-13,32.9100
2009-05-14,32.9500
2009-05-15,32.9200
2009-05-18,32.9800
2009-05-19,32.8500
2009-05-20,32.8000
2009-05-21,32.7100
2009-05-22,32.5500
2009-05-25,.
2009-05-26,32.6300
2009-05-27,32.7200
2009-05-28,32.6300
2009-05-29,32.5700
2009-06-01,32.3600
2009-06-02,32.3700
2009-06-03,32.4900
2009-06-04,32.5800
2009-06-05,32.6400
2009-06-08,32.8700
2009-06-09,32.7400
2009-06-10,32.6800
2009-06-11,32.7200
2009-06-12,32.7900
2009-06-15,32.9400
2009-06-16,32.8700
2009-06-17,32.9600
2009-06-18,32.8800
2009-06-19,32.8600
2009-06-22,32.8900
2009-06-23,32.8800
2009-06-24,32.8500
2009-06-25,32.9500
2009-06-26,32.9500
2009-06-29,32.9000
2009-06-30,32.7700
2009-07-01,32.6900
2009-07-02,32.9000
2009-07-03,32.8700
2009-07-06,32.9800
2009-07-07,32.9600
2009-07-08,33.0100
2009-07-09,32.9500
2009-07-10,33.0400
2009-07-13,33.1300
2009-07-14,33.0780
2009-07-15,32.8700
2009-07-16,32.8700
2009-07-17,32.8600
2009-07-20,32.7500
2009-07-21,32.7500
2009-07-22,32.8200
2009-07-23,32.7400
2009-07-24,32.8100
2009-07-27,32.8500
2009-07-28,32.7250
2009-07-29,32.8600
2009-07-30,32.8000
2009-07-31,32.8000
2009-08-03,32.8000
2009-08-04,32.6500
2009-08-05,32.7100
2009-08-06,32.7300
2009-08-07,32.7500
2009-08-10,32.7800
2009-08-11,32.9100
2009-08-12,32.8300
2009-08-13,32.8760
2009-08-14,32.9000
2009-08-17,32.9800
2009-08-18,32.9530
2009-08-19,33.0200
2009-08-20,32.8900
2009-08-21,32.8400
2009-08-24,32.7900
2009-08-25,32.9160
2009-08-26,32.9700
2009-08-27,32.9000
2009-08-28,32.8800
2009-08-31,32.9100
2009-09-01,32.9000
2009-09-02,32.8600
2009-09-03,32.8500
2009-09-04,32.8900
2009-09-07,.
2009-09-08,32.6500
2009-09-09,32.6600
2009-09-10,32.6800
2009-09-11,32.5400
2009-09-14,32.6100
2009-09-15,32.5700
2009-09-16,32.4300
2009-09-17,32.4000
2009-09-18,32.4000
2009-09-21,32.3900
2009-09-22,32.3200
2009-09-23,32.3600
2009-09-24,32.3900
2009-09-25,32.4100
2009-09-28,32.4000
2009-09-29,32.4600
2009-09-30,32.0300
2009-10-01,32.1400
2009-10-02,32.2800
2009-10-05,32.1500
2009-10-06,32.1000
2009-10-07,32.0400
2009-10-08,32.0800
2009-10-09,32.2600
2009-10-12,.
2009-10-13,32.2600
2009-10-14,32.2200
2009-10-15,32.2300
2009-10-16,32.2500
2009-10-19,32.3100
2009-10-20,32.2700
2009-10-21,32.3500
2009-10-22,32.4000
2009-10-23,32.3900
2009-10-26,32.3900
2009-10-27,32.4600
2009-10-28,32.4400
2009-10-29,32.4800
2009-10-30,32.6100
2009-11-02,32.5000
2009-11-03,32.5800
2009-11-04,32.5100
2009-11-05,32.4700
2009-11-06,32.5100
2009-11-09,32.3000
2009-11-10,32.3600
2009-11-11,.
2009-11-12,32.3400
2009-11-13,32.1800
2009-11-16,32.1700
2009-11-17,32.1300
2009-11-18,32.1200
2009-11-19,32.3700
2009-11-20,32.3800
2009-11-23,32.2200
2009-11-24,32.2400
2009-11-25,32.2500
2009-11-26,.
2009-11-27,32.2300
2009-11-30,32.2000
2009-12-01,32.1300
2009-12-02,32.1200
2009-12-03,32.1000
2009-12-04,32.1600
2009-12-07,32.3000
2009-12-08,32.2200
2009-12-09,32.2500
2009-12-10,32.2900
2009-12-11,32.1700
2009-12-14,32.2800
2009-12-15,32.3100
2009-12-16,32.3100
2009-12-17,32.3200
2009-12-18,32.3800
2009-12-21,32.3500
2009-12-22,32.3500
2009-12-23,32.3600
2009-12-24,32.2900
2009-12-25,.
2009-12-28,32.2800
2009-12-29,32.3200
2009-12-30,32.1700
2009-12-31,31.9500
2010-01-01,.
2010-01-04,31.6500
2010-01-05,31.8900
2010-01-06,31.8300
2010-01-07,31.8500
2010-01-08,31.8200
2010-01-11,31.7500
2010-01-12,31.8000
2010-01-13,31.7500
2010-01-14,31.7500
2010-01-15,31.7900
2010-01-18,.
2010-01-19,31.8300
2010-01-20,31.9700
2010-01-21,31.9200
2010-01-22,31.9800
2010-01-25,31.9100
2010-01-26,32.0400
2010-01-27,32.0100
2010-01-28,31.9700
2010-01-29,31.9400
2010-02-01,32.0400
2010-02-02,32.0400
2010-02-03,31.9800
2010-02-04,32.0700
2010-02-05,32.1000
2010-02-08,32.1400
2010-02-09,32.0500
2010-02-10,32.0800
2010-02-11,32.0500
2010-02-12,32.0800
2010-02-15,.
2010-02-16,32.0700
2010-02-17,31.9900
2010-02-18,32.0400
2010-02-19,32.0800
2010-02-22,32.0200
2010-02-23,32.0800
2010-02-24,32.0600
2010-02-25,32.0900
2010-02-26,32.1200
2010-03-01,32.0400
2010-03-02,32.0100
2010-03-03,31.9500
2010-03-04,31.9400
2010-03-05,31.9100
2010-03-08,31.8500
2010-03-09,31.8000
2010-03-10,31.8300
2010-03-11,31.7500
2010-03-12,31.7300
2010-03-15,31.8300
2010-03-16,31.8100
2010-03-17,31.7000
2010-03-18,31.7400
2010-03-19,31.7300
2010-03-22,31.7900
2010-03-23,31.8200
2010-03-24,31.8100
2010-03-25,31.8300
2010-03-26,31.8700
2010-03-29,31.8200
2010-03-30,31.7800
2010-03-31,31.7300
2010-04-01,31.7400
2010-04-02,31.7400
2010-04-05,31.7000
2010-04-06,31.6700
2010-04-07,31.5800
2010-04-08,31.6000
2010-04-09,31.5300
2010-04-12,31.5200
2010-04-13,31.5570
2010-04-14,31.3800
2010-04-15,31.3500
2010-04-16,31.3500
2010-04-19,31.4800
2010-04-20,31.3900
2010-04-21,31.3800
2010-04-22,31.4200
2010-04-23,31.3800
2010-04-26,31.3100
2010-04-27,31.3400
2010-04-28,31.4600
2010-04-29,31.3000
2010-04-30,31.3100
2010-05-03,31.4000
2010-05-04,31.4200
2010-05-05,31.5400
2010-05-06,31.6700
2010-05-07,31.7700
2010-05-10,31.5600
2010-05-11,31.6400
2010-05-12,31.6600
2010-05-13,31.6400
2010-05-14,31.7800
2010-05-17,31.8500
2010-05-18,31.8300
2010-05-19,32.0400
2010-05-20,32.1000
2010-05-21,32.1500
2010-05-24,32.1000
2010-05-25,32.3300
2010-05-26,32.1800
2010-05-27,32.0300
2010-05-28,32.0000
2010-05-31,.
2010-06-01,32.3300
2010-06-02,32.1800
2010-06-03,32.1600
2010-06-04,32.2500
2010-06-07,32.4200
2010-06-08,32.4300
2010-06-09,32.4000
2010-06-10,32.3800
2010-06-11,32.4000
2010-06-14,32.2000
2010-06-15,32.2800
2010-06-16,32.2200
2010-06-17,32.2200
2010-06-18,32.1200
2010-06-21,31.7400
2010-06-22,32.0800
2010-06-23,31.9880
2010-06-24,32.0260
2010-06-25,32.0700
2010-06-28,32.0400
2010-06-29,32.1700
2010-06-30,32.2700
2010-07-01,32.1900
2010-07-02,32.2100
2010-07-05,.
2010-07-06,32.1800
2010-07-07,32.1600
2010-07-08,32.1030
2010-07-09,32.0500
2010-07-12,32.0800
2010-07-13,32.1300
2010-07-14,32.1100
2010-07-15,32.1100
2010-07-16,32.0800
2010-07-19,32.1400
2010-07-20,32.1600
2010-07-21,32.1400
2010-07-22,32.1000
2010-07-23,32.0900
2010-07-26,32.0600
2010-07-27,31.9800
2010-07-28,32.0000
2010-07-29,31.9400
2010-07-30,31.9500
